,InnerCV ROC-AUC (mean) (mean),InnerCV ROC-AUC (mean) (std)
Decision Tree,0.6586161524340651,0.02392646706929007
KNN,0.654811086015259,0.011856918731268467
Logistic Regression,0.7537843618759924,0.019512304514142802
Random Forest,0.7677466144610976,0.02532574527214263
SVM,0.7513666401766004,0.021172757588763448
XGBoost,0.7477520870609193,0.03010242313646674
