fp_bits,fold,model,fp_gen_secs_total,kmeans_train_secs,kmeans_test_secs,fit_secs,pred_secs
1024,1,Logistic Regression,2.6710846424102783,23.817689895629883,1.675980567932129,8.162606239318848,0.0015099048614501953
1024,1,SVM,2.6710846424102783,23.817689895629883,1.675980567932129,21.804112434387207,0.06576943397521973
1024,1,Random Forest,2.6710846424102783,23.817689895629883,1.675980567932129,2.2591466903686523,0.03733992576599121
1024,1,Decision Tree,2.6710846424102783,23.817689895629883,1.675980567932129,0.3079078197479248,0.0002980232238769531
1024,1,KNN,2.6710846424102783,23.817689895629883,1.675980567932129,0.43167614936828613,0.04897165298461914
1024,1,XGBoost,2.6710846424102783,23.817689895629883,1.675980567932129,4.946216106414795,0.011300086975097656
1024,2,Logistic Regression,2.6710846424102783,24.686183214187622,1.6134788990020752,1.2522356510162354,0.0009629726409912109
1024,2,SVM,2.6710846424102783,24.686183214187622,1.6134788990020752,21.786118507385254,0.06317710876464844
1024,2,Random Forest,2.6710846424102783,24.686183214187622,1.6134788990020752,1.3868155479431152,0.042283058166503906
1024,2,Decision Tree,2.6710846424102783,24.686183214187622,1.6134788990020752,0.2776198387145996,0.00028443336486816406
1024,2,KNN,2.6710846424102783,24.686183214187622,1.6134788990020752,0.24330520629882812,0.06545495986938477
1024,2,XGBoost,2.6710846424102783,24.686183214187622,1.6134788990020752,1.8438217639923096,0.0015676021575927734
1024,3,Logistic Regression,2.6710846424102783,24.80401372909546,1.6315808296203613,1.182070255279541,0.0008132457733154297
1024,3,SVM,2.6710846424102783,24.80401372909546,1.6315808296203613,20.524775981903076,0.06421709060668945
1024,3,Random Forest,2.6710846424102783,24.80401372909546,1.6315808296203613,1.5520422458648682,0.03088688850402832
1024,3,Decision Tree,2.6710846424102783,24.80401372909546,1.6315808296203613,0.2932736873626709,0.0003001689910888672
1024,3,KNN,2.6710846424102783,24.80401372909546,1.6315808296203613,0.22394156455993652,0.052315473556518555
1024,3,XGBoost,2.6710846424102783,24.80401372909546,1.6315808296203613,1.7728548049926758,0.0017476081848144531
1024,4,Logistic Regression,2.6710846424102783,25.253430604934692,1.6295759677886963,1.2519946098327637,0.0007288455963134766
1024,4,SVM,2.6710846424102783,25.253430604934692,1.6295759677886963,21.379034280776978,0.06756234169006348
1024,4,Random Forest,2.6710846424102783,25.253430604934692,1.6295759677886963,1.5450985431671143,0.028726577758789062
1024,4,Decision Tree,2.6710846424102783,25.253430604934692,1.6295759677886963,0.2951698303222656,0.0002872943878173828
1024,4,KNN,2.6710846424102783,25.253430604934692,1.6295759677886963,0.23630833625793457,0.05274081230163574
1024,4,XGBoost,2.6710846424102783,25.253430604934692,1.6295759677886963,1.8290534019470215,0.0017809867858886719
1024,5,Logistic Regression,2.6710846424102783,26.99563980102539,1.7558043003082275,1.1380527019500732,0.0007646083831787109
1024,5,SVM,2.6710846424102783,26.99563980102539,1.7558043003082275,21.421658754348755,0.06583189964294434
1024,5,Random Forest,2.6710846424102783,26.99563980102539,1.7558043003082275,1.5696592330932617,0.02926492691040039
1024,5,Decision Tree,2.6710846424102783,26.99563980102539,1.7558043003082275,0.29687070846557617,0.00043964385986328125
1024,5,KNN,2.6710846424102783,26.99563980102539,1.7558043003082275,0.21444272994995117,0.04567575454711914
1024,5,XGBoost,2.6710846424102783,26.99563980102539,1.7558043003082275,2.0106217861175537,0.0018413066864013672
2048,1,Logistic Regression,2.8548922538757324,66.22232961654663,3.078172445297241,3.1139214038848877,0.001992940902709961
2048,1,SVM,2.8548922538757324,66.22232961654663,3.078172445297241,66.69094491004944,0.18037724494934082
2048,1,Random Forest,2.8548922538757324,66.22232961654663,3.078172445297241,1.9178361892700195,0.03859829902648926
2048,1,Decision Tree,2.8548922538757324,66.22232961654663,3.078172445297241,0.7548873424530029,0.0004222393035888672
2048,1,KNN,2.8548922538757324,66.22232961654663,3.078172445297241,0.32320380210876465,0.07052350044250488
2048,1,XGBoost,2.8548922538757324,66.22232961654663,3.078172445297241,3.8155837059020996,0.002599477767944336
2048,2,Logistic Regression,2.8548922538757324,70.8604793548584,3.977231740951538,3.3624417781829834,0.0024077892303466797
2048,2,SVM,2.8548922538757324,70.8604793548584,3.977231740951538,63.96657419204712,0.25061774253845215
2048,2,Random Forest,2.8548922538757324,70.8604793548584,3.977231740951538,2.3702547550201416,0.020833253860473633
2048,2,Decision Tree,2.8548922538757324,70.8604793548584,3.977231740951538,0.8169541358947754,0.0004420280456542969
2048,2,KNN,2.8548922538757324,70.8604793548584,3.977231740951538,0.32564806938171387,0.11537909507751465
2048,2,XGBoost,2.8548922538757324,70.8604793548584,3.977231740951538,4.2186689376831055,0.0034475326538085938
2048,3,Logistic Regression,2.8548922538757324,77.4180166721344,4.351830720901489,4.198248624801636,0.0015063285827636719
2048,3,SVM,2.8548922538757324,77.4180166721344,4.351830720901489,71.13410377502441,0.19948029518127441
2048,3,Random Forest,2.8548922538757324,77.4180166721344,4.351830720901489,2.3326027393341064,0.039253950119018555
2048,3,Decision Tree,2.8548922538757324,77.4180166721344,4.351830720901489,0.9205384254455566,0.0008976459503173828
2048,3,KNN,2.8548922538757324,77.4180166721344,4.351830720901489,0.335343599319458,0.07780051231384277
2048,3,XGBoost,2.8548922538757324,77.4180166721344,4.351830720901489,3.631974697113037,0.002705812454223633
2048,4,Logistic Regression,2.8548922538757324,73.66071510314941,3.6323893070220947,4.214224576950073,0.0013909339904785156
2048,4,SVM,2.8548922538757324,73.66071510314941,3.6323893070220947,69.21974968910217,0.1916368007659912
