smiles,antibiotic_activity
CCOC(=O)CCn1cc(F)c(=O)[nH]c1=O,0
O=C1NC(=S)N/C1=C\c1ccco1,0
CC[C@@H](C)NC=C1C(=O)NC(=O)NC1=O,0
Cc1cc(NN)nc(SCC(=O)NN)n1,0
CN(/N=C/c1ccncc1)C1=NCCN1,0
NNC(=O)[C@H]1C[C@H]2C[C@@H]1C[C@@H]2C(=O)NN,0
CC(C)Cn1c(=O)n(C)c(=O)c2[nH]cnc21,0
Nc1c(C(=O)c2ccccc2)no[n+]1[O-],0
NC(=O)CSc1nnnn1-c1ccccc1,0
Cc1cc(=O)n2ncnc2n1CC(=O)NN,0
COC(CNC1=Nc2ncccc2OC1)OC,0
Cc1noc(C)c1S(=O)(=O)NC(C)C,0
CC1CCN(S(=O)(=O)c2c[nH]cn2)CC1,0
NC(=O)c1cc2ccccc2nc1C(N)=O,0
CNC(=O)c1ccc(OC(C)=O)cc1,0
Cc1nnnn1CC(=O)Nc1ccc(F)cc1,0
O=c1cccc2n1C[C@@H]1C[C@H]2CN(CCO)C1,0
Nc1ccc(OCC(=O)N2CCOCC2)cc1,0
CSc1nc(=O)c(C)n[nH]1,0
Cn1nnnc1SCC(=O)NC(C)(C)C,0
Nn1c([C@@H](O)c2ccccc2)n[nH]c1=S,0
Cn1nc(C(=O)O)c2ccccc2c1=O,0
CN(C)CC#Cc1cncc(C(=O)NN)c1,0
CC(C)(C)NC(=O)C[n+]1cccc(/C=N/O)c1,0
O=c1[nH]nc(N2CCOCC2)c(=O)[nH]1,0
CCOC(=O)CCc1n[nH]c(=O)[nH]c1=O,0
CCNC(=S)N1CCC[C@H](C(N)=O)C1,0
C[C@H]1CCc2c(C(=O)O)csc2C1,0
NC(=S)c1cnc(-c2ccncc2)nc1N,0
Nc1nncn1C(=O)c1ccccc1F,0
CCS(=O)(=O)NCCc1csc(C)n1,0
CCOC(=O)c1snc2c(=O)nc[nH]c12,0
CC(=O)Nc1ccc(C(=O)NN)cc1,0
COc1ccc(OCCC(=O)NN)cc1,0
CCOC(=O)C[C@@H](N)c1cccc(O)c1,0
CCOC(=O)CC(=O)c1ccn(C)n1,0
O=C1CC(=O)N(Cc2ccccc2)C(=O)N1,0
CCOC(=O)c1cc(C(=O)OCC)n(C)n1,0
O=C(COc1ccccc1)N1CCNC1=O,0
C=C[C@H]1CCC=C2C(=O)CCC[C@@H]21,0
Nc1ncnc2nc(N3CCCCC3)[nH]c12,0
CCOC(=O)/C(C)=N/NC(C)=O,0
O=c1cc(-c2ccccc2)ss1,0
Cc1nn(CC(=O)O)c(=O)c2cccn12,0
COc1nsnc1N1CCOCC1,0
Cc1ccccc1Nc1nnc(C)c(=O)n1N,0
CC(C)(C)OC(=O)Nc1ccccc1,0
CN(C)CCNC(=O)c1ccccn1,0
Cc1cc(C)nc(N2CC(=O)NC2=N)n1,0
Nc1nnnn1/N=C\C=C\c1ccccc1,0
C[C@H]1NC(=O)N[C@@H]1CCCCC(=O)O,0
CN(C)C(=O)CSc1nnc(N)s1,0
CN1CCN(C(=O)c2ccc(N)cc2)CC1,0
N#Cc1ccc(N2CCCNCC2)nc1,0
Nc1ccc(C(=O)N2CCOCC2)cc1,0
CC(N)(Cc1cccc(O)c1)C(=O)O,0
CNC(=O)c1cccc(NC(=S)NC)c1,0
O=C(O)CSCC(=O)N1CCCCC1,0
NC1=NC(=O)C[C@H](Cc2ccccc2)N1,0
CCOc1nc2ccccc2c(=O)n1CCO,0
COC(=O)c1cnn2c(=O)cc(C)[nH]c12,0
CN(C)S(=O)(=O)c1ccc(C#N)cc1,0
COC(=O)c1cnn2c(=O)c3c([nH]c12)CCC3,0
CCNc1nc(OCCO)nc(N(C)C)n1,0
COc1ccc(Cn2cc[nH]c(=O)c2=O)cc1,0
C=CCn1cnc2c1c(=O)[nH]c(=O)n2C,0
COC(=O)c1cc(=O)n2ccccc2c1C#N,0
CCSC1=C(C#N)C(=O)N[C@@H](CO)S1,0
C(=N/c1nnc2nc[nH]n12)\c1ccco1,0
c1cnc(N2CC[N+]3(CCCC3)CC2)nc1,0
OCC1c2ccccc2-c2ccccc21,0
C=Cn1cnc2c1c(=O)n(C)c(=O)n2C,0
CC(C)c1cc(=O)n2nc(N)nc2[nH]1,0
CN(C)CN1C(=O)c2ccccc2C1=O,0
CNC(=O)c1ccc(N)cc1,0
C=CCOc1nc(NCC)nc(N(C)C)n1,0
CN[C@H]1[C@H]2CN3CC[C@@H](O2)[C@@H]13,0
O=C1CSCC(=O)N1c1cccnc1,0
CCCC(=O)c1c(O)[nH]c(=O)[nH]c1=O,0
N=C(N)/N=C(\N)Nc1ccc(Cl)cc1,0
NC(=O)c1cc2ccccc2o/c1=N\O,1
Cc1cc(OC(=O)N(C)C)cc(=O)n1C,0
CC(=O)Nc1cc2c(cc1N)OCCO2,0
O=C(NCCN1CCOCC1)c1ccccn1,0
Cc1ccc(N2NC(=O)/C(=N/O)C2=O)cc1C,0
CCc1nn(C)c2c(=O)c(=O)c2n(C)[nH]1,0
CC1(C)N=C(N)N=C(N)N1c1ccccc1,0
N#Cc1cnc2c(C(N)=O)cnn2c1N,0
O=C(O)CNS(=O)(=O)c1ccccc1,0
CCC(=O)Nc1nn2c(C)nnc2s1,0
NC(=O)CCN1C(=O)c2ccccc2C1=O,0
CSc1nc(C)cc(NC(N)=O)n1,0
O=C(O)CCCNc1n[nH]c(=O)[nH]c1=O,0
Cc1nnsc1-c1onc(C)c1C(N)=O,0
ON/C=N\c1nonc1-c1cccnc1,0
CSc1nc(C)cc(OCCO)n1,0
CCN1CCC[C@@H]1CN1CNC(=S)NC1,0
O=C(O)CCC(=O)N[C@H]1CCCCNC1=O,0
Cc1cn2c(nc1=O)O[C@@H]1C[C@H]2O[C@@H]1CO,0
CCn1nnc(NC(=O)Cc2ccccc2)n1,0
S=C1NCN(Cc2cccs2)CN1,0
O=C(Nc1ccno1)NN1CCOCC1,0
O=C1NC(=S)NC(=O)C1c1ccccc1,0
N#Cc1nn(-c2ccccc2)c(=O)[nH]c1=O,0
O=C1NC(=S)NC(=O)C1=Cc1ccccc1,0
NNC(=O)c1c(O)c2c([nH]c1=O)CCCC2,0
Cc1[nH]c(=O)[nH]c(=O)c1/C=C/C(=O)O,0
Cc1ccc(CNS(=O)(=O)N(C)C)cc1,0
O=c1[nH]cc(/N=C/c2ccncc2)c(=O)[nH]1,0
CN(C)c1nc(N)nc(Cn2ccnc2)n1,0
Nc1cc(N)nc(SCCC(=O)O)n1,0
O=C1CSC(=Nc2nccs2)N1,0
CN(C=O)CP(=O)(O)CN1CCCCC1,0
Cn1nnc2cc(C(=O)NC3CC3)ccc21,0
CCOC(=O)[C@@H](N)Cc1ccccc1,0
CCOC(=O)Cn1cnc2ccccc2c1=O,0
O=C(O)[C@H]1NC(=O)[C@@H]1Cc1ccccc1,0
COC(=O)[C@H]1CNCCN1c1ccccc1,0
