model,fp_bits,train_frac,ROC-AUC (mean),ROC-AUC (std),PRC-AUC (mean),PRC-AUC (std),Average Precision (mean),Average Precision (std),Accuracy (mean),Accuracy (std),F1 Score (mean),F1 Score (std),MCC (mean),MCC (std),Recall (mean),Recall (std),Precision (mean),Precision (std),False Positive Rate (mean),False Positive Rate (std),fit_secs (mean),fit_secs (std)
LogReg,1024,0.05,0.7853855439867209,0.0138160010558462,0.5718059199435809,0.02031365811528245,0.5768500447945085,0.019829548249820927,0.7033096926713949,0.02016397412438773,0.43955197132616486,0.05888351938993117,0.2718102929517236,0.061482870180423435,0.3510638297872341,0.059231535774787444,0.5900312256049961,0.04404333742446459,0.12056737588652482,0.003071012070157585,0.08172416687011719,0.07388062495121826
LogReg,1024,0.1,0.8284668779236456,0.016770326088487886,0.6673530347249809,0.028410580628818845,0.6703322617572155,0.028446759919518765,0.7470449172576833,0.004094682760210102,0.5657030507302739,0.023886910105366164,0.40275326949147017,0.0035704155443839957,0.49645390070921985,0.05459150467496681,0.6643484001242622,0.03726703630686588,0.1276595744680851,0.03321807445956594,0.051597038904825844,0.013227325003182033
LogReg,1024,0.2,0.8421231326392032,0.007653023061143792,0.6738839255921064,0.007948649079070006,0.6769296953351112,0.007979603525697971,0.7375886524822696,0.016250268421829223,0.5353755846115779,0.05412288075675946,0.3726328587123105,0.049798871261159845,0.4574468085106383,0.07446808510638293,0.6504695668630095,0.015202885718603867,0.12234042553191489,0.014073145271620178,0.0882125695546468,0.005987778660897579
LogReg,1024,0.4,0.8735287460389317,0.013213083181880601,0.7291735575544251,0.047245235040428345,0.7320122362141986,0.04623947206201722,0.7860520094562647,0.02565311396478806,0.6321245395436899,0.04964680787435453,0.4969835841576253,0.0626351034016471,0.5531914893617021,0.0592315357747875,0.7406379462831075,0.05168970487953516,0.0975177304964539,0.026238738629341733,0.2571287155151367,0.01633680684248809
LogReg,1024,0.6,0.8804323223177909,0.01415674155030999,0.7523364390934634,0.01737688095214379,0.7541072950113631,0.01745139418116727,0.7848699763593382,0.014763588648695977,0.6359002725392243,0.026452461673940268,0.49505728450981756,0.03608015807016738,0.5638297872340425,0.028146290543240356,0.7295669729880255,0.029783027089146482,0.10460992907801418,0.013386231268210544,0.3552261193593343,0.0499133027496063
LogReg,1024,0.8,0.8905802022031085,0.00392547438700817,0.7588929677122676,0.005313748914017971,0.7614679558060756,0.00465713781990483,0.8096926713947991,0.012453491433632126,0.6884020124181127,0.02365521233857679,0.5580156501650575,0.03040621889491999,0.6312056737588653,0.030710120701575812,0.7575401292474463,0.02127222831403229,0.10106382978723405,0.010638297872340418,0.6259814103444418,0.0643598739499341
LogReg,1024,1.0,0.8920137317036367,0.004218018139392305,0.7534576631440909,0.009236531536348897,0.7563575108561085,0.009170271205258165,0.8108747044917258,0.012453491433632054,0.6945762937087349,0.021690882743662168,0.5622582997385573,0.02983159417196269,0.6453900709219859,0.024568096561260626,0.7520550556657009,0.020877777564862615,0.10638297872340426,0.009213036210472748,1.054198980331421,0.11600069559899938
LogReg,2048,0.05,0.8325411196619887,0.008713263289102232,0.6532372402819328,0.029273122515450705,0.6588022085812448,0.026214448970241916,0.7186761229314421,0.024906982867264168,0.3667002012072435,0.1306053851104148,0.29611133290897346,0.08250256642915081,0.2553191489361702,0.11702127659574467,0.7190904139433552,0.011953910813555825,0.04964539007092198,0.02149708449110309,0.04366350173950195,0.0010814503806432425
LogReg,2048,0.1,0.8610325184849857,0.010314673988839389,0.7149312641727144,0.011382220326915443,0.7174796720935976,0.011960282461217268,0.7316784869976359,0.002047341380105019,0.41018543761864373,0.015702100699327363,0.34260884949255294,0.005614186278054163,0.2801418439716312,0.016250268421829233,0.7675708797032327,0.012495435106712065,0.0425531914893617,0.005319148936170212,0.06476656595865886,0.0005889003253950673
LogReg,2048,0.2,0.8542421155877471,0.019500444712331647,0.6694858373873299,0.042364076778708265,0.676285235573749,0.04156242602970018,0.7588652482269503,0.028146290543240304,0.5223964794140232,0.08365607377680105,0.41830274736395423,0.08008287294414128,0.40070921985815605,0.08598833796441235,0.7596991698277292,0.04645941039045188,0.06205673758865248,0.00812513421091461,0.22522457440694174,0.01091559853285866
