fp_bits,fp_density,fp_gen_secs,train_frac,repeat,n_pos_train,n_neg_train,n_pos_test,n_neg_test,model,inner_cv_splits,inner_cv_metric,inner_cv_mean,best_params,fit_secs,pred_secs,ROC-AUC,PRC-AUC,Average Precision,Accuracy,F1 Score,MCC,Recall,Precision,TN,FP,FN,TP,False Positive Rate
1024,0.045539844781160355,2.3731164932250977,0.05,2,19,38,94,188,SVM,5,roc_auc,0.868154761904762,"{""C"": 0.1, ""kernel"": ""linear""}",0.02694845199584961,0.007848262786865234,0.7702297419646899,0.5455457404169524,0.5511072801136985,0.7056737588652482,0.6375545851528385,0.42163702135578396,0.776595744680851,0.5407407407407407,126,62,21,73,0.32978723404255317
1024,0.045539844781160355,2.3731164932250977,0.05,2,19,38,94,188,RandomForest,5,roc_auc,0.8934523809523809,"{""max_depth"": null, ""n_estimators"": 200}",1.0136821269989014,0.029317378997802734,0.8228836577636941,0.6231856067685848,0.6288801081863231,0.7411347517730497,0.48951048951048953,0.3705928436896636,0.3723404255319149,0.7142857142857143,174,14,59,35,0.07446808510638298
1024,0.045539844781160355,2.3731164932250977,0.1,0,38,76,94,188,XGBoost,5,roc_auc,0.8776190476190477,"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 300}",0.5417678356170654,0.0017580986022949219,0.8445280669986419,0.674665265307522,0.6780457688905037,0.7872340425531915,0.6875,0.5265784148389184,0.7021276595744681,0.673469387755102,156,32,28,66,0.1702127659574468
1024,0.045539844781160355,2.3731164932250977,0.1,0,38,76,94,188,LogReg,5,roc_auc,0.8557142857142856,"{""C"": 1}",0.0667574405670166,0.0009465217590332031,0.816376188320507,0.6569722596159931,0.6605196687932092,0.7446808510638298,0.5714285714285714,0.39896565851410903,0.5106382978723404,0.6486486486486487,162,26,46,48,0.13829787234042554
1024,0.045539844781160355,2.3731164932250977,0.1,0,38,76,94,188,SVM,5,roc_auc,0.8135714285714286,"{""C"": 0.1, ""kernel"": ""linear""}",0.06634902954101562,0.003816843032836914,0.8011826618379357,0.6379552076860067,0.641189369177919,0.7198581560283688,0.572972972972973,0.3647174435739068,0.5638297872340425,0.5824175824175825,150,38,41,53,0.20212765957446807
1024,0.045539844781160355,2.3731164932250977,0.1,0,38,76,94,188,RandomForest,5,roc_auc,0.880952380952381,"{""max_depth"": 10, ""n_estimators"": 200}",1.240272045135498,0.029068470001220703,0.852308736985061,0.6909179152798097,0.6955892245446966,0.7553191489361702,0.49635036496350365,0.4115322129368653,0.3617021276595745,0.7906976744186046,179,9,60,34,0.047872340425531915
1024,0.045539844781160355,2.3731164932250977,0.1,1,38,76,94,188,XGBoost,5,roc_auc,0.8847619047619049,"{""learning_rate"": 0.03, ""max_depth"": 6, ""n_estimators"": 300}",0.5305099487304688,0.0025696754455566406,0.8846197374377546,0.7525622180003737,0.7545040057092761,0.7978723404255319,0.6742857142857143,0.5320049792574042,0.6276595744680851,0.7283950617283951,166,22,35,59,0.11702127659574468
1024,0.045539844781160355,2.3731164932250977,0.1,1,38,76,94,188,LogReg,5,roc_auc,0.885357142857143,"{""C"": 0.1}",0.042409420013427734,0.0007648468017578125,0.8476120416478045,0.6994941314124284,0.7023863558370126,0.75177304964539,0.5394736842105263,0.4032369794256904,0.43617021276595747,0.7068965517241379,171,17,53,41,0.09042553191489362
1024,0.045539844781160355,2.3731164932250977,0.1,1,38,76,94,188,SVM,5,roc_auc,0.8582142857142857,"{""C"": 0.1, ""kernel"": ""linear""}",0.062154293060302734,0.002634763717651367,0.8020880488909008,0.6311308087689014,0.6351526609850335,0.7269503546099291,0.5882352941176471,0.3840122885898555,0.5851063829787234,0.5913978494623656,150,38,39,55,0.20212765957446807
1024,0.045539844781160355,2.3731164932250977,0.1,1,38,76,94,188,RandomForest,5,roc_auc,0.8517857142857143,"{""max_depth"": null, ""n_estimators"": 500}",1.286895990371704,0.05447816848754883,0.8622962879130829,0.7263195699529887,0.7280595623097302,0.7446808510638298,0.4857142857142857,0.3800477028585322,0.3617021276595745,0.7391304347826086,176,12,60,34,0.06382978723404255
1024,0.045539844781160355,2.3731164932250977,0.1,2,38,76,94,188,XGBoost,5,roc_auc,0.9613095238095237,"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 300}",0.5033495426177979,0.001592397689819336,0.8603440470801267,0.6882419925685176,0.6918685241944585,0.7978723404255319,0.7076923076923077,0.554358732490619,0.7340425531914894,0.6831683168316832,156,32,25,69,0.1702127659574468
1024,0.045539844781160355,2.3731164932250977,0.1,2,38,76,94,188,LogReg,5,roc_auc,0.9454761904761906,"{""C"": 10}",0.0456242561340332,0.003266572952270508,0.8214124038026256,0.6455927131465207,0.6480907606414246,0.7446808510638298,0.5862068965517241,0.40605717053461116,0.5425531914893617,0.6375,159,29,43,51,0.15425531914893617
1024,0.045539844781160355,2.3731164932250977,0.1,2,38,76,94,188,SVM,5,roc_auc,0.9321428571428572,"{""C"": 0.1, ""kernel"": ""linear""}",0.06814312934875488,0.004290342330932617,0.7952976459936623,0.6120381179483432,0.615811224005707,0.7375886524822695,0.6145833333333334,0.41599694772274554,0.6276595744680851,0.6020408163265306,149,39,35,59,0.2074468085106383
1024,0.045539844781160355,2.3731164932250977,0.1,2,38,76,94,188,RandomForest,5,roc_auc,0.9745238095238096,"{""max_depth"": null, ""n_estimators"": 200}",1.09977388381958,0.02952432632446289,0.8687188773200544,0.7236201273421454,0.7240598594441086,0.7695035460992907,0.6242774566473989,0.46344855238027605,0.574468085106383,0.6835443037974683,163,25,40,54,0.13297872340425532
1024,0.045539844781160355,2.3731164932250977,0.2,0,75,150,94,188,XGBoost,5,roc_auc,0.9224444444444444,"{""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 300}",0.8576428890228271,0.0022153854370117188,0.8815640561339972,0.7316587188284702,0.7340826296315717,0.8226950354609929,0.7368421052631579,0.6032506032509048,0.7446808510638298,0.7291666666666666,162,26,24,70,0.13829787234042554
1024,0.045539844781160355,2.3731164932250977,0.2,0,75,150,94,188,LogReg,5,roc_auc,0.8673333333333332,"{""C"": 0.1}",0.09295034408569336,0.00079345703125,0.8435377999094613,0.6709701878247094,0.6736419693452805,0.7553191489361702,0.5964912280701754,0.4277364900376451,0.5425531914893617,0.6623376623376623,162,26,43,51,0.13829787234042554
1024,0.045539844781160355,2.3731164932250977,0.2,0,75,150,94,188,SVM,5,roc_auc,0.8379999999999999,"{""C"": 10, ""kernel"": ""rbf""}",0.15806102752685547,0.014445781707763672,0.7992870076957899,0.6186353678287762,0.6239651738710166,0.7446808510638298,0.6363636363636364,0.44175071089822127,0.6702127659574468,0.6057692307692307,147,41,31,63,0.21808510638297873
1024,0.045539844781160355,2.3731164932250977,0.2,0,75,150,94,188,RandomForest,5,roc_auc,0.9046666666666667,"{""max_depth"": null, ""n_estimators"": 500}",1.3410592079162598,0.05174827575683594,0.8715765052059756,0.6891842669799949,0.6940670830635192,0.7730496453900709,0.6049382716049383,0.4630743762668372,0.5212765957446809,0.7205882352941176,169,19,45,49,0.10106382978723404
1024,0.045539844781160355,2.3731164932250977,0.2,1,75,150,94,188,XGBoost,5,roc_auc,0.9126666666666667,"{""learning_rate"": 0.03, ""max_depth"": 6, ""n_estimators"": 300}",0.8308885097503662,0.001850128173828125,0.8894296061566319,0.7550405675042813,0.7572103614541535,0.7978723404255319,0.6705202312138728,0.5304531623629666,0.6170212765957447,0.7341772151898734,167,21,36,58,0.11170212765957446
1024,0.045539844781160355,2.3731164932250977,0.2,1,75,150,94,188,LogReg,5,roc_auc,0.8424444444444443,"{""C"": 0.01}",0.09020471572875977,0.0014722347259521484,0.8338614757808964,0.6678033133747118,0.671119216253815,0.723404255319149,0.4935064935064935,0.3308465799422135,0.40425531914893614,0.6333333333333333,166,22,56,38,0.11702127659574468
