Fold,ROC-AUC,PRC-AUC,Accuracy,F1,MCC,Recall,Precision,False Positives,False Positive Rate
1,0.9580126754187415,0.9497681064353753,0.9361702127659575,0.9361702127659575,0.8723404255319149,0.9361702127659575,0.9361702127659575,6,0.06382978723404255
2,0.9425079221367134,0.954169996040974,0.851063829787234,0.8372093023255814,0.7125253031944253,0.7659574468085106,0.9230769230769231,6,0.06382978723404255
3,0.9689904934359439,0.9651921301716772,0.9042553191489362,0.898876404494382,0.8131249357707345,0.851063829787234,0.9523809523809523,4,0.0425531914893617
4,0.9701222272521502,0.9781530793338535,0.9521276595744681,0.9518716577540107,0.9043064923087151,0.9468085106382979,0.956989247311828,4,0.0425531914893617
5,0.9660479855138072,0.9723779608130719,0.9148936170212766,0.9139784946236559,0.8299751174897799,0.9042553191489362,0.9239130434782609,7,0.07446808510638298
