Fold,Model,ROC-AUC,PRC-AUC,Accuracy,F1 Score,MCC,Recall,Precision,False Positives,False Positive Rate
1,Logistic Regression,0.8414482101094387,0.37012110018607214,0.9685767097966729,0.38848920863309355,0.4014260585543727,0.2872340425531915,0.6,18,0.0068939103791650705
1,SVM,0.8405722108591311,0.4313694361433657,0.9719038817005545,0.4411764705882353,0.4659624930466175,0.3191489361702128,0.7142857142857143,12,0.004595940252776714
1,Random Forest,0.8792180382506091,0.5005979180947295,0.9707948243992607,0.33613445378151263,0.4035576552822325,0.2127659574468085,0.8,5,0.0019149751053236309
1,Decision Tree,0.7220128425564509,0.42816720878950887,0.9645101663585952,0.43529411764705883,0.4196989561490065,0.39361702127659576,0.4868421052631579,39,0.01493680582152432
1,KNN,0.7831433297750107,0.4556953922171939,0.9704251386321626,0.3442622950819672,0.39940391972837774,0.22340425531914893,0.75,7,0.002680965147453083
1,XGBoost,0.8638656420870784,0.4511385582715661,0.9722735674676525,0.358974358974359,0.44409293837017716,0.22340425531914893,0.9130434782608695,2,0.0007659900421294523
2,Logistic Regression,0.7765183307936145,0.2635241801105073,0.9656192236598891,0.3404255319148936,0.3455221960205903,0.2553191489361702,0.5106382978723404,23,0.008808885484488702
2,SVM,0.8054344548840013,0.26591782941721936,0.967097966728281,0.35036496350364965,0.3632074601795177,0.2553191489361702,0.5581395348837209,19,0.007276905400229797
2,Random Forest,0.8283204446001776,0.37855180607373706,0.9704251386321626,0.2982456140350877,0.3841787338151861,0.18085106382978725,0.85,3,0.0011489850631941786
2,Decision Tree,0.6706120586389824,0.3268019871193615,0.9619223659889095,0.37575757575757573,0.36025165019298594,0.32978723404255317,0.43661971830985913,40,0.015319800842589047
2,KNN,0.747007342096042,0.4306781565110713,0.9704251386321626,0.2982456140350877,0.3841787338151861,0.18085106382978725,0.85,3,0.0011489850631941786
2,XGBoost,0.8073209090835011,0.35779653197521094,0.9696857670979667,0.2807017543859649,0.3606167005996759,0.1702127659574468,0.8,4,0.0015319800842589046
3,Logistic Regression,0.7562195946771841,0.30870879685975716,0.965988909426987,0.3698630136986301,0.3703472143457391,0.2872340425531915,0.5192307692307693,25,0.009574875526618154
3,SVM,0.739045934956037,0.2976848344244,0.9678373382624769,0.4,0.4040877992478552,0.30851063829787234,0.5686274509803921,22,0.008425890463423975
3,Random Forest,0.7797860117180179,0.3074676846604561,0.9663585951940851,0.3357664233576642,0.34706901641024807,0.24468085106382978,0.5348837209302325,20,0.0076599004212945234
3,Decision Tree,0.6927402071432646,0.29591548490694786,0.9537892791127541,0.31693989071038253,0.29316131435279014,0.30851063829787234,0.3258426966292135,60,0.02297970126388357
3,KNN,0.7335821442831882,0.35036269060969844,0.9648798521256932,0.2962962962962963,0.30688459813504404,0.2127659574468085,0.4878048780487805,21,0.00804289544235925
3,XGBoost,0.7846162308400628,0.3188043122724694,0.967097966728281,0.23931623931623933,0.2902049785575881,0.14893617021276595,0.6086956521739131,9,0.0034469551895825352
4,Logistic Regression,0.8097451860785384,0.3218150129439198,0.9674676524953789,0.2903225806451613,0.32684275072190416,0.19148936170212766,0.6,12,0.004595940252776714
4,SVM,0.7811142710463913,0.2574644348256516,0.967097966728281,0.3308270676691729,0.34958016229780287,0.23404255319148937,0.5641025641025641,17,0.0065109153581003444
4,Random Forest,0.7915855178989055,0.34487619551895793,0.966728280961183,0.16666666666666666,0.23948970572652895,0.09574468085106383,0.6428571428571429,5,0.0019149751053236309
4,Decision Tree,0.6937241783941913,0.34531439118358065,0.9600739371534196,0.3493975903614458,0.3322926838232103,0.30851063829787234,0.4027777777777778,43,0.016468785905783226
4,KNN,0.7413561283277784,0.3328129213382443,0.9682070240295748,0.17307692307692307,0.28778085462956365,0.09574468085106383,0.9,1,0.00038299502106472615
4,XGBoost,0.7988603860915765,0.36495645583818287,0.9700554528650647,0.2831858407079646,0.37075595496306635,0.1702127659574468,0.8421052631578947,3,0.0011489850631941786
5,Logistic Regression,0.8076203785946529,0.31583289374312623,0.966728280961183,0.375,0.3785807882673406,0.2872340425531915,0.54,23,0.008808885484488702
5,SVM,0.77232779484505,0.3293051426343642,0.9682070240295748,0.410958904109589,0.4144484608337088,0.3191489361702128,0.5769230769230769,22,0.008425890463423975
5,Random Forest,0.7800039929268153,0.3596432882426463,0.9704251386321626,0.43661971830985913,0.448461183541486,0.32978723404255317,0.6458333333333334,17,0.0065109153581003444
5,Decision Tree,0.7129431945044288,0.3604353120027893,0.9637707948243993,0.3875,0.3755675209032823,0.32978723404255317,0.4696969696969697,35,0.013404825737265416
5,KNN,0.7290513946722947,0.4024527274981592,0.9700554528650647,0.4489795918367347,0.4537826931427653,0.35106382978723405,0.6226415094339622,20,0.0076599004212945234
5,XGBoost,0.805075906353643,0.3291923474204929,0.9700554528650647,0.31932773109243695,0.3824634821897022,0.20212765957446807,0.76,6,0.002297970126388357
