Strategy,Fold,Model,ROC-AUC,PRC-AUC,Accuracy,F1 Score,MCC,Recall,Precision,False Positives,False Positive Rate
none,1,Logistic Regression,0.8397532534204715,0.42740890125007425,0.9682070240295748,0.38571428571428573,0.3965708808676523,0.2872340425531915,0.5869565217391305,19,0.007276905400229797
none,1,SVM,0.8460360015319801,0.3740782907354723,0.967097966728281,0.288,0.32092897524010283,0.19148936170212766,0.5806451612903226,13,0.00497893527384144
none,1,Random Forest,0.891435171981062,0.5054109361744065,0.9719038817005545,0.3770491803278688,0.43929049063511216,0.24468085106382978,0.8214285714285714,5,0.0019149751053236309
none,1,Decision Tree,0.7216522568185337,0.3684307309138837,0.9611829944547134,0.4134078212290503,0.3939204986368396,0.39361702127659576,0.43529411764705883,48,0.018383761011106857
none,1,KNN,0.7833613109838083,0.4586742825115753,0.9685767097966729,0.32,0.35885770986193427,0.2127659574468085,0.6451612903225806,11,0.004212945231711987
none,1,XGBoost,0.861217272260567,0.4480735917727642,0.9711645101663586,0.3709677419354839,0.4232139781802376,0.24468085106382978,0.7666666666666667,7,0.002680965147453083
none,2,Logistic Regression,0.7881304138790877,0.33196376710847614,0.967097966728281,0.36879432624113473,0.3764182834304511,0.2765957446808511,0.5531914893617021,21,0.00804289544235925
none,2,SVM,0.8078057644825085,0.30487823103444284,0.966728280961183,0.26229508196721313,0.2996874924615417,0.1702127659574468,0.5714285714285714,12,0.004595940252776714
none,2,Random Forest,0.8461419363250405,0.3517335402272167,0.9696857670979667,0.3880597014925373,0.41155946300829127,0.2765957446808511,0.65,14,0.005361930294906166
none,2,Decision Tree,0.6570768516179503,0.33192396005758434,0.9585951940850277,0.3333333333333333,0.3146616250025587,0.2978723404255319,0.3783783783783784,46,0.017617770968977403
none,2,KNN,0.7384429215186161,0.39044352009222205,0.9700554528650647,0.2831858407079646,0.37075595496306635,0.1702127659574468,0.8421052631578947,3,0.0011489850631941786
none,2,XGBoost,0.82171581769437,0.36791558829439563,0.9696857670979667,0.32786885245901637,0.37946063427501053,0.2127659574468085,0.7142857142857143,8,0.003063960168517809
none,3,Logistic Regression,0.7672225527025596,0.348003554681641,0.9674676524953789,0.36231884057971014,0.3745263243881761,0.26595744680851063,0.5681818181818182,19,0.007276905400229797
none,3,SVM,0.7240989430967184,0.30921049851739546,0.9682070240295748,0.31746031746031744,0.3526233542566852,0.2127659574468085,0.625,12,0.004595940252776714
none,3,Random Forest,0.8247573685797402,0.3956772364460876,0.9693160813308688,0.26548672566371684,0.3465863193970786,0.1595744680851064,0.7894736842105263,4,0.0015319800842589046
none,3,Decision Tree,0.7077727617200551,0.348025363837842,0.9604436229205175,0.38857142857142857,0.3693381679833303,0.3617021276595745,0.41975308641975306,47,0.01800076599004213
none,3,KNN,0.7291817759560615,0.35823849742154135,0.9682070240295748,0.23214285714285715,0.307225450013194,0.13829787234042554,0.7222222222222222,5,0.0019149751053236309
none,3,XGBoost,0.7999319572675343,0.34863111304145894,0.9682070240295748,0.21818181818181817,0.30124655065565353,0.1276595744680851,0.75,4,0.0015319800842589046
none,4,Logistic Regression,0.8113158731064156,0.262237251265898,0.9645101663585952,0.2835820895522388,0.2944965452966795,0.20212765957446807,0.475,21,0.00804289544235925
none,4,SVM,0.774629839386556,0.24537134263292507,0.9663585951940851,0.24793388429752067,0.2855299869173368,0.1595744680851064,0.5555555555555556,12,0.004595940252776714
none,4,Random Forest,0.8253318611113374,0.3518162259756925,0.967097966728281,0.22608695652173913,0.2821967914010208,0.13829787234042554,0.6190476190476191,8,0.003063960168517809
none,4,Decision Tree,0.6759984354245948,0.3012664263129131,0.9604436229205175,0.3515151515151515,0.3349998210181365,0.30851063829787234,0.4084507042253521,42,0.0160857908847185
none,4,KNN,0.7461904218649413,0.2772244092082624,0.9656192236598891,0.16216216216216217,0.2147917874003854,0.09574468085106383,0.5294117647058824,8,0.003063960168517809
none,4,XGBoost,0.7839358035154054,0.28752759422615387,0.9674676524953789,0.22807017543859648,0.2899306009531452,0.13829787234042554,0.65,7,0.002680965147453083
none,5,Logistic Regression,0.8009546354620795,0.33006984217560087,0.9693160813308688,0.4028776978417266,0.4172077239622584,0.2978723404255319,0.6222222222222222,17,0.0065109153581003444
none,5,SVM,0.7738231051932496,0.3444891405290477,0.9693160813308688,0.366412213740458,0.39473370106834693,0.2553191489361702,0.6486486486486487,13,0.00497893527384144
none,5,Random Forest,0.8119738911479256,0.41911943751284303,0.9711645101663586,0.43478260869565216,0.4543113034766809,0.3191489361702128,0.6818181818181818,14,0.005361930294906166
none,5,Decision Tree,0.6892443589722694,0.3260629835557527,0.955637707948244,0.3548387096774194,0.3318911343576779,0.35106382978723405,0.358695652173913,59,0.022596706242818843
none,5,KNN,0.7370026157745055,0.4088090194903472,0.9685767097966729,0.2608695652173913,0.3281937376057005,0.1595744680851064,0.7142857142857143,6,0.002297970126388357
none,5,XGBoost,0.8106048876683752,0.370087305493317,0.9693160813308688,0.3025210084033613,0.361369309097172,0.19148936170212766,0.72,7,0.002680965147453083
