Strategy,Fold,Model,ROC-AUC,PRC-AUC,Accuracy,F1 Score,MCC,Recall,Precision,False Positives,False Positive Rate,ROC-AUC (balanced),PRC-AUC (balanced),Accuracy (balanced),F1 Score (balanced),MCC (balanced),Recall (balanced),Precision (balanced),False Positives (balanced),False Positive Rate (balanced)
random_balanced,1,Logistic Regression,0.8101516523313717,0.7136447158956005,0.7943262411347518,0.6741573033707865,0.5263613559678152,0.6382978723404256,0.7142857142857143,24,0.1276595744680851,0.8249830239927569,0.8431882448745235,0.7547872340425532,0.7226263667755181,0.5244190807131407,0.6382978723404256,0.833218495670143,12.1,0.12872340425531914
random_balanced,1,SVM,0.8173947487550929,0.749142440595712,0.8014184397163121,0.654320987654321,0.5334147878516732,0.5638297872340425,0.7794117647058824,15,0.0797872340425532,0.8270880488909009,0.8437006860279425,0.7473404255319149,0.6906709565217385,0.5321963607434936,0.5638297872340425,0.8917444417583947,6.5,0.06914893617021275
random_balanced,1,Random Forest,0.8662290629244002,0.8082361138194427,0.8226950354609929,0.691358024691358,0.5861700965403002,0.5957446808510638,0.8235294117647058,12,0.06382978723404255,0.8719330013580805,0.8873822831932696,0.7734042553191489,0.7245422937323848,0.5852960046267768,0.5957446808510639,0.9248570379397536,4.6,0.04893617021276596
random_balanced,1,Decision Tree,0.7460955183340878,0.6956250965530001,0.7411347517730497,0.6331658291457286,0.43569543086263396,0.6702127659574468,0.6,42,0.22340425531914893,0.7224139882299683,0.7786676875027326,0.7053191489361702,0.6948567183460737,0.41204743668724575,0.6702127659574468,0.721987549250554,24.4,0.25957446808510637
random_balanced,1,KNN,0.764231552738796,0.7143327380758079,0.776595744680851,0.5401459854014599,0.4743083132153702,0.39361702127659576,0.8604651162790697,6,0.031914893617021274,0.7678700769578995,0.8242867518651626,0.6829787234042554,0.5540111312097412,0.44956757691494154,0.3936170212765958,0.9366224942674327,2.6,0.0276595744680851
random_balanced,1,XGBoost,0.8574015391579901,0.7499876375334937,0.8404255319148937,0.7428571428571429,0.6317559128681675,0.6914893617021277,0.8024691358024691,16,0.0851063829787234,0.8599988682661838,0.8652849860835679,0.7904255319148936,0.7676610282464897,0.5931467523873059,0.6914893617021277,0.86346706923321,10.4,0.1106382978723404
random_balanced,2,Logistic Regression,0.7915063377093707,0.7048036757008457,0.7588652482269503,0.6,0.4351463259493584,0.5425531914893617,0.6710526315789473,25,0.13297872340425532,0.7815583974649163,0.8119236793755554,0.7106382978723405,0.6522602212857465,0.44758443575831774,0.5425531914893618,0.8179872918823283,11.4,0.12127659574468086
random_balanced,2,SVM,0.8239305115436848,0.7324966029151733,0.7872340425531915,0.6103896103896104,0.4962698699133202,0.5,0.7833333333333333,13,0.06914893617021277,0.8156349026708918,0.8319212317411651,0.7132978723404257,0.6356484154718112,0.4720119406832744,0.5,0.8728503370408565,6.9,0.07340425531914893
random_balanced,2,Random Forest,0.8451788139429606,0.774916324477248,0.7907801418439716,0.6143790849673203,0.5054991355062517,0.5,0.7966101694915254,12,0.06382978723404255,0.838558171118153,0.8454682595730365,0.7292553191489362,0.6488059869899063,0.5163140501711683,0.5,0.9243265879807817,3.9,0.04148936170212765
random_balanced,2,Decision Tree,0.6787573562698055,0.6174206571379215,0.7056737588652482,0.5743589743589743,0.3503965573289761,0.5957446808510638,0.5544554455445545,45,0.2393617021276596,0.6771276595744682,0.7390514638836638,0.675531914893617,0.6476717582890751,0.35614076067256834,0.5957446808510639,0.7103010491907048,23.0,0.24468085106382978
random_balanced,2,KNN,0.7861871887732005,0.7213991746181905,0.7624113475177305,0.4806201550387597,0.44109333638747783,0.32978723404255317,0.8857142857142857,4,0.02127659574468085,0.7830975554549571,0.8148555926003503,0.653723404255319,0.4878196866016748,0.4037493561444297,0.3297872340425531,0.9369763814616755,2.1,0.02234042553191489
random_balanced,2,XGBoost,0.8123868266183794,0.7046981562249545,0.7659574468085106,0.6162790697674418,0.4540541359475109,0.5638297872340425,0.6794871794871795,25,0.13297872340425532,0.7976516523313717,0.8089702198469091,0.7138297872340426,0.6635298489417913,0.44888705852585,0.5638297872340425,0.806902490842005,12.8,0.13617021276595748
random_balanced,3,Logistic Regression,0.7773313716613852,0.6765420148582715,0.7872340425531915,0.6428571428571429,0.5015568278463085,0.574468085106383,0.7297297297297297,20,0.10638297872340426,0.7674966047985514,0.8006838084845315,0.7345744680851064,0.6843362674349254,0.496333368288819,0.574468085106383,0.8477875641297488,9.9,0.1053191489361702
random_balanced,3,SVM,0.7809529198732459,0.750782301619203,0.8120567375886525,0.6535947712418301,0.5609807479398647,0.5319148936170213,0.847457627118644,9,0.047872340425531915,0.7727818017202355,0.8042079874498542,0.727659574468085,0.6614613915610369,0.4951344434309738,0.5319148936170212,0.8749200872497498,7.2,0.07659574468085105
random_balanced,3,Random Forest,0.7890448166591217,0.7318855357950265,0.7943262411347518,0.6081081081081081,0.516185401208764,0.4787234042553192,0.8333333333333334,9,0.047872340425531915,0.7838897691263014,0.8164033910440217,0.7196808510638298,0.6307313266595556,0.5016142585054204,0.4787234042553192,0.9244995657837605,3.7,0.03936170212765957
random_balanced,3,Decision Tree,0.7194997736532367,0.6285648436412323,0.7269503546099291,0.6010362694300518,0.39400626128204935,0.6170212765957447,0.5858585858585859,41,0.21808510638297873,0.702653915799004,0.7400591351151912,0.675,0.6553653130351338,0.3529970538598543,0.6170212765957447,0.6997570101451622,25.1,0.2670212765957447
