feature,abs_IG
chiral=unspecified,4.294191
numH=0,3.260138
Z=S,1.3344429
deg=2,0.9315062
aromatic,0.9129852
charge=0,0.85366255
deg=3,0.8456955
Z=C,0.77660215
Z=N,0.5762164
hyb=sp2,0.38348612
hyb=sp3,0.18932185
charge=1,0.16936709
in_ring,0.12169172
charge=-1,0.028738398
numH=2,0.027406225
numH=1,0.019631002
deg=1,0.002766278
Z=O,0.0026670597
Z=Mg,0.0
Z=Fe,0.0
Z=Ca,0.0
Z=P,0.0
Z=Si,0.0
Z=H,0.0
Z=F,0.0
Z=B,0.0
Z=Na,0.0
Z=K,0.0
Z=Cl,0.0
Z=Cu,0.0
Z=I,0.0
hyb=sp3d2,0.0
hyb=sp3d,0.0
deg=5,0.0
hyb=sp,0.0
deg=4,0.0
Z=Br,0.0
deg=0,0.0
Z=other,0.0
Z=Zn,0.0
charge=2,0.0
charge=-2,0.0
hyb=other,0.0
numH=4,0.0
numH=3,0.0
chiral=CW,0.0
chiral=CCW,0.0
