feature,abs_IG
chiral=unspecified,3.3733659
deg=4,1.1266631
deg=3,0.83065516
charge=0,0.7506205
numH=0,0.6682807
hyb=sp3,0.66541773
numH=2,0.65574723
Z=C,0.6339401
numH=1,0.3886731
Z=S,0.32133198
aromatic,0.3150244
Z=N,0.20307721
hyb=sp2,0.14047596
deg=2,0.08833449
Z=O,0.05529882
in_ring,0.041182414
deg=1,0.029839473
Z=Mg,0.0
Z=Ca,0.0
Z=Fe,0.0
Z=Cl,0.0
Z=P,0.0
Z=Si,0.0
Z=H,0.0
Z=F,0.0
Z=B,0.0
Z=Na,0.0
Z=K,0.0
Z=other,0.0
Z=Cu,0.0
Z=Zn,0.0
hyb=sp3d2,0.0
hyb=sp3d,0.0
deg=5,0.0
hyb=sp,0.0
Z=I,0.0
Z=Br,0.0
deg=0,0.0
hyb=other,0.0
charge=1,0.0
charge=2,0.0
charge=-2,0.0
charge=-1,0.0
numH=4,0.0
numH=3,0.0
chiral=CW,0.0
chiral=CCW,0.0
