feature,abs_IG
chiral=unspecified,1.6779273
deg=4,0.6718655
numH=0,0.59377486
charge=0,0.5191101
Z=C,0.46303824
hyb=sp3,0.35354015
deg=3,0.28541413
chiral=CW,0.28505912
in_ring,0.18041608
numH=1,0.1708032
hyb=sp2,0.15216133
numH=3,0.11633583
Z=S,0.08989255
aromatic,0.055566404
Z=N,0.049358368
Z=O,0.03256042
deg=2,0.029248985
deg=1,0.022970749
charge=-1,0.0055280738
deg=0,0.004739052
Z=K,0.002869093
hyb=other,0.0028636188
charge=1,0.0019690166
chiral=CCW,0.00016087806
Z=B,0.0
Z=H,0.0
Z=Na,0.0
Z=Cl,0.0
Z=P,0.0
Z=F,0.0
Z=Si,0.0
Z=Fe,0.0
Z=Ca,0.0
Z=Mg,0.0
hyb=sp3d2,0.0
Z=I,0.0
Z=Br,0.0
Z=Zn,0.0
Z=other,0.0
Z=Cu,0.0
hyb=sp3d,0.0
deg=5,0.0
hyb=sp,0.0
charge=2,0.0
charge=-2,0.0
numH=4,0.0
numH=2,0.0
