feature,abs_IG
chiral=unspecified,1.4997753
numH=0,0.58568674
charge=0,0.56741
deg=4,0.54990005
deg=3,0.34705052
Z=C,0.312634
hyb=sp3,0.27318487
chiral=CW,0.21503541
numH=1,0.16516374
hyb=sp2,0.16214362
numH=2,0.13785404
aromatic,0.09297401
numH=3,0.056540992
Z=N,0.052539755
deg=2,0.034750044
in_ring,0.028930645
Z=F,0.025555633
deg=1,0.025244687
Z=O,0.024930073
Z=Fe,0.0
Z=Ca,0.0
Z=Mg,0.0
Z=P,0.0
Z=Si,0.0
Z=B,0.0
Z=H,0.0
Z=Na,0.0
Z=K,0.0
Z=Cl,0.0
Z=S,0.0
Z=Cu,0.0
hyb=sp3d2,0.0
hyb=sp3d,0.0
deg=5,0.0
hyb=sp,0.0
Z=I,0.0
Z=Br,0.0
deg=0,0.0
Z=other,0.0
Z=Zn,0.0
charge=1,0.0
charge=-2,0.0
charge=-1,0.0
hyb=other,0.0
charge=2,0.0
numH=4,0.0
chiral=CCW,0.0
