feature,abs_IG
chiral=unspecified,1.6917197
deg=4,0.92589766
charge=0,0.599741
numH=0,0.5031165
hyb=sp3,0.3943055
numH=2,0.378019
deg=3,0.34600344
Z=C,0.33670178
numH=1,0.28073093
chiral=CW,0.19992371
hyb=sp2,0.16274273
aromatic,0.106957234
Z=N,0.08980582
deg=2,0.05975865
in_ring,0.04563814
chiral=CCW,0.04045617
Z=O,0.023805588
deg=1,0.020864898
Z=Cl,0.01946078
numH=3,0.01838102
Z=Fe,0.0
Z=Mg,0.0
Z=Ca,0.0
Z=H,0.0
Z=F,0.0
Z=B,0.0
Z=Na,0.0
Z=K,0.0
Z=S,0.0
Z=P,0.0
Z=Si,0.0
hyb=sp3d2,0.0
hyb=sp3d,0.0
deg=5,0.0
hyb=sp,0.0
Z=I,0.0
Z=Br,0.0
deg=0,0.0
Z=other,0.0
Z=Zn,0.0
Z=Cu,0.0
charge=1,0.0
charge=-1,0.0
hyb=other,0.0
charge=2,0.0
charge=-2,0.0
numH=4,0.0
