feature,abs_IG
chiral=unspecified,4.7630672
deg=4,1.9583583
Z=S,1.5172889
numH=0,1.4616488
charge=0,1.3041039
hyb=sp3,1.0043591
Z=C,0.97807986
chiral=CW,0.6492031
deg=3,0.6391232
deg=2,0.5911463
numH=1,0.3691486
Z=N,0.33592865
numH=2,0.32897517
aromatic,0.28717855
numH=3,0.26957324
hyb=sp2,0.16170102
in_ring,0.121691816
Z=Mg,0.0
Z=Na,0.0
Z=Fe,0.0
Z=Ca,0.0
Z=P,0.0
Z=Si,0.0
Z=H,0.0
Z=F,0.0
Z=O,0.0
Z=B,0.0
Z=K,0.0
Z=Cl,0.0
Z=Br,0.0
Z=Cu,0.0
hyb=sp3d2,0.0
hyb=sp3d,0.0
deg=5,0.0
hyb=sp,0.0
Z=I,0.0
Z=other,0.0
deg=0,0.0
deg=1,0.0
Z=Zn,0.0
charge=1,0.0
charge=-2,0.0
charge=-1,0.0
hyb=other,0.0
charge=2,0.0
numH=4,0.0
chiral=CCW,0.0
