feature,abs_IG
deg=4,1.2872167
chiral=unspecified,0.75013775
chiral=CW,0.66160715
hyb=sp3,0.65977585
charge=0,0.60901994
numH=1,0.35309967
Z=C,0.33195898
numH=2,0.18177673
numH=0,0.16012554
deg=2,0.104969576
Z=N,0.07733587
deg=3,0.075741306
Z=O,0.056480985
chiral=CCW,0.05590438
Z=S,0.05006907
in_ring,0.043404266
deg=1,0.0046495027
hyb=sp2,0.0026088844
Z=Mg,0.0
Z=Fe,0.0
Z=Ca,0.0
Z=P,0.0
Z=Si,0.0
Z=H,0.0
Z=F,0.0
Z=B,0.0
Z=Na,0.0
Z=K,0.0
Z=Cl,0.0
Z=Cu,0.0
Z=Zn,0.0
hyb=sp3d2,0.0
hyb=sp3d,0.0
deg=5,0.0
hyb=sp,0.0
Z=I,0.0
Z=Br,0.0
deg=0,0.0
Z=other,0.0
charge=1,0.0
charge=2,0.0
charge=-2,0.0
charge=-1,0.0
hyb=other,0.0
aromatic,0.0
numH=3,0.0
numH=4,0.0
