feature,abs_IG
chiral=unspecified,1.6229725
deg=4,0.7101881
charge=0,0.57927835
numH=0,0.5542399
deg=3,0.3546022
Z=C,0.3154624
numH=2,0.3116126
hyb=sp3,0.28157797
numH=1,0.17559662
hyb=sp2,0.13963008
aromatic,0.1253051
Z=N,0.093946874
chiral=CW,0.0746059
deg=2,0.07297687
numH=3,0.054213487
in_ring,0.047449354
chiral=CCW,0.043193836
Z=O,0.023929968
deg=1,0.014863633
Z=Fe,0.0
Z=Ca,0.0
Z=Mg,0.0
Z=Na,0.0
Z=Si,0.0
Z=F,0.0
Z=H,0.0
Z=B,0.0
Z=K,0.0
Z=Cl,0.0
Z=S,0.0
Z=P,0.0
hyb=sp3d2,0.0
hyb=sp3d,0.0
deg=5,0.0
hyb=sp,0.0
Z=I,0.0
Z=Br,0.0
deg=0,0.0
Z=other,0.0
Z=Zn,0.0
Z=Cu,0.0
charge=1,0.0
charge=-1,0.0
hyb=other,0.0
charge=2,0.0
charge=-2,0.0
numH=4,0.0
