feature,abs_IG
stereo=none,0.081825905
bond=single,0.07864666
bond_in_ring,0.044293392
bond=double,0.0
bond=triple,0.0
bond=aromatic,0.0
conjugated,0.0
bond=other,0.0
stereo=Z,0.0
stereo=E,0.0
