feature,abs_IG
chiral=unspecified,1.517915
charge=0,0.60921
numH=0,0.58199495
deg=4,0.5678248
deg=3,0.35178924
Z=C,0.3112278
hyb=sp3,0.2712275
numH=1,0.17732455
numH=2,0.16342402
hyb=sp2,0.15869628
chiral=CW,0.1567963
aromatic,0.08822225
numH=3,0.04866175
deg=2,0.03316167
Z=N,0.031906154
Z=F,0.02667078
Z=O,0.024022322
deg=1,0.023658112
in_ring,0.023133514
chiral=CCW,0.01674344
Z=Fe,0.0
Z=Mg,0.0
Z=Ca,0.0
Z=Si,0.0
Z=B,0.0
Z=H,0.0
Z=Na,0.0
Z=K,0.0
Z=Cl,0.0
Z=S,0.0
Z=P,0.0
hyb=sp3d2,0.0
hyb=sp3d,0.0
deg=5,0.0
hyb=sp,0.0
Z=I,0.0
Z=Br,0.0
deg=0,0.0
Z=other,0.0
Z=Zn,0.0
Z=Cu,0.0
charge=1,0.0
charge=-1,0.0
hyb=other,0.0
charge=2,0.0
charge=-2,0.0
numH=4,0.0
