feature,abs_IG
chiral=unspecified,1.7036852
deg=4,0.92502093
charge=0,0.6176108
numH=0,0.500446
hyb=sp3,0.40923738
numH=2,0.35391733
deg=3,0.34406108
Z=C,0.34244156
chiral=CW,0.28738654
numH=1,0.27158213
hyb=sp2,0.1643108
aromatic,0.10742036
Z=N,0.09026531
deg=2,0.062194932
in_ring,0.043646574
Z=O,0.027688505
deg=1,0.021013137
Z=Cl,0.019771595
numH=3,0.01832846
chiral=CCW,0.012433439
Z=Fe,0.0
Z=Mg,0.0
Z=Ca,0.0
Z=H,0.0
Z=F,0.0
Z=B,0.0
Z=Na,0.0
Z=K,0.0
Z=S,0.0
Z=P,0.0
Z=Si,0.0
hyb=sp3d2,0.0
hyb=sp3d,0.0
deg=5,0.0
hyb=sp,0.0
Z=I,0.0
Z=Br,0.0
deg=0,0.0
Z=other,0.0
Z=Zn,0.0
Z=Cu,0.0
charge=1,0.0
charge=-1,0.0
hyb=other,0.0
charge=2,0.0
charge=-2,0.0
numH=4,0.0
