feature,abs_IG
deg=4,1.2568548
chiral=unspecified,0.7969695
chiral=CW,0.6545595
hyb=sp3,0.6493036
charge=0,0.576713
Z=C,0.34209555
numH=1,0.30972365
numH=0,0.16221333
numH=2,0.15289803
deg=2,0.120290466
Z=N,0.06200744
deg=3,0.06137636
Z=O,0.051739644
Z=S,0.050069045
in_ring,0.048873417
chiral=CCW,0.03859499
deg=1,0.0046495018
hyb=sp2,0.0026088885
Z=Mg,0.0
Z=Fe,0.0
Z=Ca,0.0
Z=P,0.0
Z=Si,0.0
Z=H,0.0
Z=F,0.0
Z=B,0.0
Z=Na,0.0
Z=K,0.0
Z=Cl,0.0
Z=Cu,0.0
Z=Zn,0.0
hyb=sp3d2,0.0
hyb=sp3d,0.0
deg=5,0.0
hyb=sp,0.0
Z=I,0.0
Z=Br,0.0
deg=0,0.0
Z=other,0.0
charge=1,0.0
charge=2,0.0
charge=-2,0.0
charge=-1,0.0
hyb=other,0.0
aromatic,0.0
numH=3,0.0
numH=4,0.0
