feature,abs_IG
chiral=unspecified,1.6187843
deg=4,0.70024633
charge=0,0.56321555
numH=0,0.53350407
deg=3,0.36954984
Z=C,0.31451815
numH=2,0.29705366
hyb=sp3,0.2808771
numH=1,0.21120611
hyb=sp2,0.14749986
aromatic,0.13452864
Z=N,0.11354222
chiral=CW,0.08646749
deg=2,0.05469974
in_ring,0.050396115
numH=3,0.0484851
chiral=CCW,0.02667342
deg=1,0.016147746
Z=O,0.015717268
Z=Fe,0.0
Z=Ca,0.0
Z=Mg,0.0
Z=Na,0.0
Z=Si,0.0
Z=F,0.0
Z=H,0.0
Z=B,0.0
Z=K,0.0
Z=Cl,0.0
Z=S,0.0
Z=P,0.0
hyb=sp3d2,0.0
hyb=sp3d,0.0
deg=5,0.0
hyb=sp,0.0
Z=I,0.0
Z=Br,0.0
deg=0,0.0
Z=other,0.0
Z=Zn,0.0
Z=Cu,0.0
charge=1,0.0
charge=-1,0.0
hyb=other,0.0
charge=2,0.0
charge=-2,0.0
numH=4,0.0
