feature,abs_IG
deg=4,2.6798785
chiral=unspecified,1.8536191
numH=2,1.3758211
hyb=sp3,0.7947481
deg=3,0.25947547
charge=0,0.23179436
in_ring,0.21773104
Z=N,0.15756199
numH=3,0.117501356
Z=C,0.0719898
numH=1,0.066940136
numH=0,0.052397072
Z=O,0.0
Z=B,0.0
Z=H,0.0
Z=Fe,0.0
Z=Ca,0.0
Z=Mg,0.0
Z=Na,0.0
Z=K,0.0
Z=Cl,0.0
Z=S,0.0
Z=P,0.0
Z=Si,0.0
Z=F,0.0
deg=2,0.0
Z=Cu,0.0
Z=other,0.0
Z=Zn,0.0
Z=Br,0.0
Z=I,0.0
hyb=sp3d2,0.0
hyb=sp3d,0.0
hyb=sp2,0.0
hyb=sp,0.0
deg=5,0.0
deg=0,0.0
deg=1,0.0
hyb=other,0.0
charge=1,0.0
charge=2,0.0
charge=-2,0.0
charge=-1,0.0
aromatic,0.0
numH=4,0.0
chiral=CW,0.0
chiral=CCW,0.0
