feature,abs_IG
chiral=unspecified,1.6795205
deg=4,0.8845015
charge=0,0.56106937
numH=0,0.50012994
numH=2,0.40334943
hyb=sp3,0.367063
deg=3,0.34975928
Z=C,0.32757726
numH=1,0.29772264
hyb=sp2,0.1628785
aromatic,0.10763622
chiral=CW,0.08689435
Z=N,0.0854789
deg=2,0.05212668
chiral=CCW,0.049265493
in_ring,0.041301653
deg=1,0.020610383
Z=Cl,0.01953008
Z=O,0.019464253
numH=3,0.018397104
Z=Fe,0.0
Z=Mg,0.0
Z=Ca,0.0
Z=H,0.0
Z=F,0.0
Z=B,0.0
Z=Na,0.0
Z=K,0.0
Z=S,0.0
Z=P,0.0
Z=Si,0.0
hyb=sp3d2,0.0
hyb=sp3d,0.0
deg=5,0.0
hyb=sp,0.0
Z=I,0.0
Z=Br,0.0
deg=0,0.0
Z=other,0.0
Z=Zn,0.0
Z=Cu,0.0
charge=1,0.0
charge=-1,0.0
hyb=other,0.0
charge=2,0.0
charge=-2,0.0
numH=4,0.0
