feature,abs_IG
chiral=unspecified,1.4843723
numH=0,0.5780816
charge=0,0.5669063
deg=4,0.5214073
deg=3,0.3470611
Z=C,0.30330122
hyb=sp3,0.2600987
numH=1,0.18341205
hyb=sp2,0.1612367
numH=2,0.15758494
chiral=CW,0.13887481
aromatic,0.09276748
numH=3,0.057043415
Z=N,0.051423144
in_ring,0.03192632
deg=2,0.030906225
Z=F,0.025328288
deg=1,0.025052316
Z=O,0.022062095
chiral=CCW,0.011173223
Z=Fe,0.0
Z=Mg,0.0
Z=Ca,0.0
Z=Si,0.0
Z=B,0.0
Z=H,0.0
Z=Na,0.0
Z=K,0.0
Z=Cl,0.0
Z=S,0.0
Z=P,0.0
hyb=sp3d2,0.0
hyb=sp3d,0.0
deg=5,0.0
hyb=sp,0.0
Z=I,0.0
Z=Br,0.0
deg=0,0.0
Z=other,0.0
Z=Zn,0.0
Z=Cu,0.0
charge=1,0.0
charge=-1,0.0
hyb=other,0.0
charge=2,0.0
charge=-2,0.0
numH=4,0.0
