feature,abs_IG
chiral=unspecified,2.2272515
deg=4,1.1208607
Z=C,0.589467
deg=3,0.50205684
hyb=sp3,0.4708708
charge=0,0.45852005
numH=0,0.44668263
numH=2,0.43978503
aromatic,0.33750623
in_ring,0.25135547
Z=N,0.16854939
numH=1,0.16417444
hyb=sp2,0.10830253
deg=2,0.048889305
Z=H,0.0
Z=Fe,0.0
Z=Ca,0.0
Z=Mg,0.0
Z=Na,0.0
Z=K,0.0
Z=Cl,0.0
Z=S,0.0
Z=P,0.0
Z=Si,0.0
Z=F,0.0
Z=O,0.0
Z=B,0.0
deg=1,0.0
Z=Cu,0.0
Z=Br,0.0
Z=Zn,0.0
hyb=sp3d2,0.0
hyb=sp3d,0.0
deg=5,0.0
hyb=sp,0.0
Z=I,0.0
Z=other,0.0
deg=0,0.0
hyb=other,0.0
charge=1,0.0
charge=2,0.0
charge=-2,0.0
charge=-1,0.0
numH=4,0.0
numH=3,0.0
chiral=CW,0.0
chiral=CCW,0.0
