feature,abs_IG
chiral=unspecified,1.483358
numH=0,0.5758204
charge=0,0.5684718
deg=4,0.5212474
deg=3,0.34680745
Z=C,0.3030605
hyb=sp3,0.26001835
numH=1,0.18360242
hyb=sp2,0.16103116
numH=2,0.15753819
chiral=CW,0.13886073
aromatic,0.093256734
numH=3,0.05706156
Z=N,0.0514401
in_ring,0.031086702
deg=2,0.031057063
Z=F,0.025328288
deg=1,0.025151541
Z=O,0.021755673
chiral=CCW,0.011173221
Z=Fe,0.0
Z=Mg,0.0
Z=Ca,0.0
Z=Si,0.0
Z=B,0.0
Z=H,0.0
Z=Na,0.0
Z=K,0.0
Z=Cl,0.0
Z=S,0.0
Z=P,0.0
hyb=sp3d2,0.0
hyb=sp3d,0.0
deg=5,0.0
hyb=sp,0.0
Z=I,0.0
Z=Br,0.0
deg=0,0.0
Z=other,0.0
Z=Zn,0.0
Z=Cu,0.0
charge=1,0.0
charge=-1,0.0
hyb=other,0.0
charge=2,0.0
charge=-2,0.0
numH=4,0.0
