model,fp_bits,slope_ROC-AUC
LogReg,1024,0.09566116506420769
LogReg,2048,0.04545560234337692
LogReg,4096,0.04800793494879427
RandomForest,1024,0.06898237911801601
RandomForest,2048,0.035940259639192736
RandomForest,4096,0.04121871835534626
SVM,1024,0.12849390192399468
SVM,2048,0.08389540406930641
SVM,4096,0.05321521543751364
XGBoost,1024,0.05864196212748849
XGBoost,2048,0.06331540591045041
XGBoost,4096,0.0928697922449896
